仓库编码,仓库名称,仓库类型,仓库层级,仓库服务商,状态,国家,省市区,详细地址,邮编,负责人,联系电话,备注,是否实体仓,是否需清关,申报地海关,对应口岸,区间企业,账册编码,创建人,创建时间,更新人,更新时间,仓储货代,外部编码,是否自动生成核注清单,是否需核放申报
AA25030001,中德生态园商务及咨询有限公司-香港水羊-ISANA,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-03-05 17:52:32,,2025-03-05 17:52:32,,D01196,否,否
AA24120017,ReVive天猫海外郑州菜鸟保税,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-23 11:11:48,乐嘟,2025-03-05 12:19:58,菜鸟,G406,否,否
ZZ876,美斯蒂克微商城郑州跨境仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,郑州海关,,,,乐嘟,2024-01-02 16:22:03,揽月,2025-03-04 10:39:38,自贸达,E943,否,是
AA24080008,Legology郑州小红书仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-08-06 10:46:00,揽月,2025-03-04 09:36:19,菜鸟,G251,否,是
AA24040009,ISANA郑州小红书中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,郑州海关,,,,,2024-04-22 17:53:58,揽月,2025-03-04 09:35:56,菜鸟,G176,否,是
AG141,ISANA郑州自贸达菜鸟中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,,,,2024-03-11 14:13:02,揽月,2025-03-04 09:35:44,菜鸟,G141,否,是
AA24120008,GSBeauty郑州自贸达中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,,,,2024-12-11 11:41:07,揽月,2025-03-03 20:06:09,菜鸟,G309,否,否
ZZ875,瑞瓦德长沙小红书中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,黄花综保,长沙黄花综合保税区,湖南拙燕仓跨境电子商务有限公司,T4921W000094,乐嘟,2024-01-02 16:20:52,揽月,2025-03-03 15:23:36,菜鸟,G108,否,是
AA25020024,HB抖音超市渠道代销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-28 15:01:07,,2025-02-28 15:01:07,,C954,否,否
ZZ744,bareMinerals菜鸟中心,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,郑州海关,,,,乐嘟,2023-07-04 09:34:08,揽月,2025-02-27 15:37:10,菜鸟,E506,否,是
AA24090015,莎娜普蔓郑州小红书中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-27 09:33:22,揽月,2025-02-27 14:41:42,菜鸟,G270,否,是
ZZ738,PierAugé抖音旗舰店郑州,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,经开综保,,,,千凡,2023-06-20 17:35:58,揽月,2025-02-27 14:02:38,自贸达,E935,否,是
ZZ580,抖音REVITALASH旗舰店仓,保税仓,区域仓,其他,启用,中国,,,,,,,否,否,经开综保,,,,千凡,2022-10-21 14:28:45,揽月,2025-02-27 14:02:14,自贸达,E657,否,是
AA25020023,BEC抖音跨境一店宁波仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-26 14:31:59,,2025-02-26 14:31:59,,G425,否,否
AA25020022,ADOPT京东跨境自营代销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-26 13:39:24,,2025-02-26 13:39:24,,G423,否,否
AA25020021,大宝北京博物馆售卖机,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-26 09:50:04,,2025-02-26 09:50:04,,G424,否,否
AA25020019,办公室-样品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-24 16:48:03,,2025-02-24 16:48:03,,C01194,否,否
AA25020018,(残品)丰树国际退货仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-24 16:48:03,,2025-02-24 16:48:03,,C01193,否,否
AA25020017,(正品)丰树国际退货仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-24 16:48:02,,2025-02-24 16:48:02,,C01192,否,否
AA25020016,丰树国际外采样品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-24 16:48:02,,2025-02-24 16:48:02,,C01191,否,否
AA25020015,nescens北京华联香港代销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-24 10:36:53,,2025-02-24 10:36:53,,G422,否,否
AA24060010,贝茗郑州自贸达抖音仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-06-18 10:27:54,揽月,2025-02-21 14:33:31,自贸达,G209,否,是
AA25020013,安徽银泰长沙水羊堂-多品牌代销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-20 17:42:15,,2025-02-20 17:42:15,,C952,否,否
AA25020012,芜湖银泰长沙水羊堂-多品牌代销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-20 11:15:46,,2025-02-20 11:15:46,,C953,否,否
ZYBC003,长沙拙燕保税仓（大贸）,保税仓,区域仓,拙燕仓,启用,中国,湖南省长沙市长沙县,湖南省长沙市黄花镇黄花机场综合保税区9号仓,,蔚云,17681558286,,是,是,黄花综保,长沙黄花综合保税区,长沙拙燕跨境电子商务有限公司,T4921W000066,千凡,2023-03-21 17:59:58,诺涵,2025-02-19 17:43:28,长沙拙燕电子商务,G175,否,是
ZZ176,PARISSA郑州菜鸟保税仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,经开综保,,,,,2022-06-28 22:05:30,揽月,2025-02-18 15:08:16,菜鸟,E286,否,是
AA25020010,ADOPT京东POP平潭保税仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-14 14:12:40,,2025-02-14 14:12:40,,G419,否,否
AA25020009,ADOPT京东自营郑州保税仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-14 14:11:31,,2025-02-14 14:11:31,,G418,否,否
AA25020008,AMOUAGE南京万象直营试用库,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-13 11:45:17,,2025-02-13 11:45:17,,C950,否,否
AA25020007,AMOUAGE南京万象直营商品库,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-13 11:44:48,,2025-02-13 11:44:48,,C951,否,否
AA25020006,杭州萧山新塘银泰百货代销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-10 14:34:55,,2025-02-10 14:34:55,,C949,否,否
AA25020005,ReVive京东杭州保税仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-07 17:43:18,,2025-02-07 17:43:18,,G417,否,否
AA25020003,城野医生天猫U先仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-02-07 16:00:18,,2025-02-07 16:00:18,,C948,否,否
AA25020002,OggiOtto郑州小红书中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,河南省郑州市管城回族区,,,,,,是,否,,,,,,2025-02-07 10:19:54,诺涵,2025-02-07 10:41:18,自贸达,G415,否,否
AA24070017,快手跨境二店长沙仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,湖南拙燕仓跨境电子商务有限公司,T4921W000094,,2024-07-17 16:18:20,揽月,2025-02-06 14:55:59,菜鸟,G239,否,是
AA24120018,3LAB郑州天猫平台仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-25 09:16:28,乐嘟,2025-02-05 17:43:42,菜鸟,G407,否,否
AA24050033,oggi长沙小红书中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,湖南拙燕仓跨境电子商务有限公司,T4921W000094,,2024-05-29 09:37:17,乐嘟,2025-02-05 17:08:04,菜鸟,G203,否,是
ZZ916,水羊内购-长沙菜鸟中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,长沙海关,,湖南拙燕仓跨境电子商务有限公司,T4921W000094,乐嘟,2024-03-27 09:31:50,乐嘟,2025-02-05 17:07:49,菜鸟,G168,否,是
AA24010001,水羊国际考拉长沙中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,湖南拙燕仓跨境电子商务有限公司,T4921W000094,,2024-01-04 15:25:41,乐嘟,2025-02-05 17:07:37,菜鸟,G126,否,是
AA23100001,水羊堂长沙黄花小红书仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,湖南拙燕仓跨境电子商务有限公司,T4921W000094,,2023-10-09 14:14:31,乐嘟,2025-02-05 17:07:23,菜鸟,G085,否,是
ZZ815,快手国际综合店长沙菜鸟中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,长沙海关,,湖南拙燕仓跨境电子商务有限公司,T4921W000094,乐嘟,2023-09-28 09:20:43,乐嘟,2025-02-05 17:07:02,菜鸟,G072,否,是
AG039,OGGIOTTO长沙菜鸟保税仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,湖南拙燕仓跨境电子商务有限公司,T4921W000093,,2024-03-11 14:13:04,乐嘟,2025-02-05 14:24:06,菜鸟,G039,否,是
ZZ241,城野医生郑州中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,新郑海关,,,,,2022-06-28 22:05:30,揽月,2025-02-05 14:15:32,菜鸟,E134,否,是
AA24110007,ZELENS长沙小红书中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,湖南拙燕仓跨境电子商务有限公司,T4921W000094,,2024-11-06 16:26:55,乐嘟,2025-02-05 11:50:34,菜鸟,G296,否,否
AA24080019,L&B-US-亚马逊发货仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-08-09 17:30:01,揽月,2025-01-22 17:06:51,平台仓,G240,否,是
AA24090001,拙燕华东上海金山仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-02 11:32:07,揽月,2025-01-22 17:06:07,平台仓,C149,否,是
AG140,MDL长沙小红书中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,长沙海关,,湖南拙燕仓跨境电子商务有限公司,T4921W000094,,2024-03-11 14:13:03,诺涵,2025-01-22 15:34:07,菜鸟,G140,否,是
AA25010003,伊菲丹天猫U先仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-01-21 16:54:33,,2025-01-21 16:54:33,,C947,否,否
ZZ932,麦基涛涛菜鸟中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,,,乐嘟,2025-01-14 17:51:40,乐嘟,2025-01-14 17:52:24,菜鸟,,否,否
ZZ933,麦基涛涛菜鸟保税仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,乐嘟,2025-01-14 17:52:16,乐嘟,2025-01-14 17:52:16,菜鸟,,否,否
AA25010002,湖南五新智能科技股份有限公司-御泥坊,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-01-13 14:03:23,,2025-01-13 14:03:23,,D01190,否,否
AA25010001,ReVive郑州中间保税仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-01-08 15:58:58,诺涵,2025-01-08 16:02:45,自贸达,G414,否,否
AA24120025,3LAB郑州自贸达中间仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-31 10:58:38,诺涵,2025-01-08 16:02:22,自贸达,G413,否,否
AA24120024,BIRETIX抖音郑州自贸达,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-31 10:56:32,诺涵,2025-01-08 16:02:08,自贸达,G411,否,否
AA24120023,Hapak天猫阿里代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-30 18:03:30,诺涵,2025-01-08 16:01:49,菜鸟,G410,否,否
AA24120022,ISANA天猫国际直营-代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-30 18:00:28,诺涵,2025-01-08 16:01:17,菜鸟,G412,否,否
ZZ125,Lumene抖音郑州全速通跨境仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,新郑海关,,,,,2022-06-28 22:05:30,诺涵,2025-01-03 15:19:25,全速通,E420,否,是
ZZ930,麦基涛涛外部仓,保税仓,区域仓,拙燕仓,启用,中国,,,,,,,是,否,,,,,乐嘟,2024-12-30 10:39:01,乐嘟,2024-12-30 10:39:20,拙燕跨境供应链,,否,否
AA24120020,伊菲丹小红书郑州中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,,,,2024-12-27 11:32:17,诺涵,2024-12-27 17:00:50,自贸达,G408,否,否
AA24120021,赛贝格-菜鸟共享菜园代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-27 16:16:18,诺涵,2024-12-27 16:45:15,自贸达,G409,否,否
AA24110003,澳门-新濠影,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-04 10:37:37,乐嘟,2024-11-04 10:41:49,平台仓,G292,否,是
AA24120015,Revive抖音海外郑州保税2号,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-20 13:45:19,诺涵,2024-12-20 14:19:58,自贸达,G404,否,否
AA24120014,美斯蒂克唯品会跨境采销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-19 13:46:21,诺涵,2024-12-19 14:58:54,平台仓,D01189,否,否
AA24120013,DRSEBAGH菜园分销中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-18 09:17:04,诺涵,2024-12-19 14:58:44,平台仓,G403,否,否
AA24120012,mesoestetic抖音郑州专,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-17 09:53:20,诺涵,2024-12-17 11:00:43,自贸达,G401,否,否
AA24120011,3LAB郑州抖音平台仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-17 09:50:51,诺涵,2024-12-17 11:00:21,自贸达,G402,否,否
AA24120010,3LAB郑州小红书平台仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,,,,2024-12-13 15:32:55,诺涵,2024-12-13 16:12:57,菜鸟,G400,否,否
AA24120009,伊菲丹西安赛格试用装库,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-11 14:36:35,乐嘟,2024-12-11 14:38:52,平台仓,C946,否,否
AA24120007,伊菲丹西安产品仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-10 15:13:27,乐嘟,2024-12-10 15:14:57,平台仓,C945,否,否
ZZ022,bareMinerals郑州中间,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,经开综保,,,,,2022-06-28 22:05:30,乐嘟,2024-12-09 16:14:47,自贸达,,否,是
AA24120006,伊菲丹章小蕙代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-09 09:27:41,乐嘟,2024-12-09 09:30:16,平台仓,C944,否,否
AA24120005,CP品类综合品牌菜园分销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-06 15:12:00,乐嘟,2024-12-06 15:14:29,平台仓,G305,否,否
AA24120004,上海万象城伊菲丹店试用品仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-04 16:43:08,乐嘟,2024-12-04 16:44:41,平台仓,C942,否,否
AA24120003,上海万象城伊菲丹店,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-04 16:41:15,乐嘟,2024-12-04 16:42:50,平台仓,C943,否,否
AA24120002,Revive杭州心怡保税仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-12-04 16:38:34,乐嘟,2024-12-04 16:42:05,菜鸟,G306,否,否
AA24120001,ReVive杭州心怡菜鸟中心仓,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,,,,2024-12-04 16:36:56,乐嘟,2024-12-04 16:41:48,菜鸟,G307,否,否
AA24110026,ISANA-得物跨境代销,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-29 18:12:28,乐嘟,2024-12-02 09:13:32,平台仓,G155,否,否
AA24100008,ZELENS宁波富立中间仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,甬保税区,宁波保税区,上海水羊国际贸易有限公司,,乐嘟,2024-11-28 14:19:06,乐嘟,2024-11-28 14:19:06,宁波富立,E466,否,否
AA24110025,Mesoestetic郑州唯品会,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-27 11:33:05,乐嘟,2024-11-27 11:35:03,平台仓,G304,否,否
AA24110024,NEORETIN菜鸟共享菜园代销,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-27 10:47:02,乐嘟,2024-11-27 11:12:38,平台仓,G303,否,否
AA24110023,城野医生郑州中间仓公仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-26 10:21:52,乐嘟,2024-11-26 10:25:24,自贸达,G302,否,否
AA24110022,伊菲丹武汉SKP店SPA房仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-25 14:06:55,乐嘟,2024-11-25 14:17:54,平台仓,C940,否,否
AA24110021,伊菲丹上海张园店SPA房仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-25 14:05:19,乐嘟,2024-11-25 14:17:40,平台仓,C941,否,否
AA24110020,Dr. Sebagh郑州菜鸟中心,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-22 11:10:21,乐嘟,2024-11-22 11:11:24,菜鸟,G301,否,否
AA24110019,莎娜普蔓郑州菜鸟中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-22 11:08:01,乐嘟,2024-11-22 11:11:04,菜鸟,G300,否,否
AA24110018,前滩太古里SPA仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-20 11:54:22,乐嘟,2024-11-20 13:37:43,平台仓,C939,否,否
AA24110015,成都IFS伊菲丹POPUP仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-19 14:10:57,乐嘟,2024-11-19 14:13:22,平台仓,C937,否,否
AA24110017,成都IFS伊菲丹POPUP试用仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-19 14:14:06,乐嘟,2024-11-19 14:15:36,平台仓,C938,否,否
AA24110016,CP品类综合品牌菜园分销中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-19 14:13:02,乐嘟,2024-11-19 14:13:49,平台仓,G299,否,否
AA24110013,Majda郑州自贸达中间仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-14 15:09:20,乐嘟,2024-11-19 13:58:46,自贸达,E450,否,否
AA24110014,海外途损仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-19 13:58:04,乐嘟,2024-11-19 13:58:34,平台仓,G298,否,否
AA22080001,长沙仓库,大贸仓,区域仓,其他,启用,中国,,,,,,,是,,,,,,,2022-08-16 10:39:21,千凡,2024-11-14 11:27:31,拙燕跨境供应链,C100,,
AA24110012,露比黎登旗舰店天猫U先,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-11 16:54:52,乐嘟,2024-11-11 16:57:13,菜鸟,C936,否,否
AA24110011,nescens-共享菜园代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-08 18:00:53,乐嘟,2024-11-11 16:55:56,平台仓,G297,否,否
AA24110010,伊菲丹杭州武林银泰店SPA仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-08 14:15:43,乐嘟,2024-11-08 14:20:52,平台仓,C935,否,否
AA24110009,伊菲丹合肥银泰中心快闪店SPA仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-08 14:09:13,乐嘟,2024-11-08 14:10:02,平台仓,C934,否,否
AA24110008,伊菲丹西安开元银泰店SPA仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-08 14:02:05,乐嘟,2024-11-08 14:02:36,平台仓,C933,否,否
AA24070024,长沙拙燕保税仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,是,黄花综保,长沙黄花综合保税区,湖南拙燕仓跨境供应链管理有限公司,T4921W000065,,2024-07-23 17:32:11,千凡,2024-11-06 11:28:24,菜鸟,C144,是,是
AA24110006,nescens菜园分销中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-05 10:00:02,乐嘟,2024-11-05 10:00:52,平台仓,G294,否,是
AA24110005,深圳湾万象城SPA仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-05 09:40:36,乐嘟,2024-11-05 09:53:27,平台仓,C932,否,是
AA24050034,Rogaine香港骏多拉公仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-05-29 11:15:07,乐嘟,2024-11-05 09:35:51,香港骏多拉,E969,否,否
AA24110004,香港骏多拉公仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-05 09:34:11,乐嘟,2024-11-05 09:35:41,香港骏多拉,G295,否,否
AA24110002,香港JW代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-04 10:29:46,乐嘟,2024-11-04 10:30:34,平台仓,G293,否,否
AA24110001,comfz港澳酒店发货仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-11-04 10:02:51,乐嘟,2024-11-04 10:03:15,平台仓,G291,否,是
ZZ923,虚拟仓,保税仓,区域仓,其他,启用,中国,,,,,,,否,否,,,,,乐嘟,2024-04-07 17:44:37,千凡,2024-10-30 16:42:27,拙燕跨境供应链,C999,否,是
AA24100025,水羊美妆武汉心怡菜鸟保税仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-28 16:36:29,乐嘟,2024-10-28 17:03:15,菜鸟,G290,否,是
AA24100027,空-10028,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2024-10-28 17:00:03,,2024-10-28 17:00:03,,G288,,是
AA24100024,拙燕华东耗材过渡仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-28 15:22:20,乐嘟,2024-10-28 15:23:11,拙燕跨境供应链,C147,否,是
AA24100023,ORLANE幽兰京东自营旗舰店采销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-25 15:25:10,乐嘟,2024-10-25 15:26:09,平台仓,D01188,否,是
AA24100022,ORLANE幽兰海外京东代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-25 15:21:29,乐嘟,2024-10-25 15:23:42,平台仓,G287,否,是
AA24100021,hince京东国际美妆自营代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-25 15:19:23,乐嘟,2024-10-25 15:23:22,平台仓,G286,否,是
AA24100019,HINCE京东自营旗舰店采销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2024-10-24 11:17:28,,2024-10-24 11:17:28,,D01187,,是
AA24100015,AMOUAGE无锡恒隆直营商品库,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-22 17:03:33,乐嘟,2024-10-22 17:12:54,平台仓,C928,否,是
AA24100016,AMOUAGE广州天环直营试用库,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-22 17:04:13,乐嘟,2024-10-22 17:13:08,平台仓,C929,否,是
AA24100018,AMOUAGE广州天环直营商品库,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-22 17:13:18,乐嘟,2024-10-22 17:14:04,平台仓,C930,否,是
AA24100017,mesoestetic-共享菜园,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-22 17:04:47,乐嘟,2024-10-22 17:13:26,平台仓,G284,否,是
AA24100014,AMOUAGE无锡恒隆直营店试用,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-22 17:03:10,乐嘟,2024-10-22 17:12:37,平台仓,C927,否,是
AA24100013,杭州中大银泰-HERMETICA,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-22 14:31:01,乐嘟,2024-10-22 14:32:52,平台仓,C926,否,是
AA24100012,ZELENS京东自营大贸店采销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-21 16:14:44,乐嘟,2024-10-21 16:15:02,平台仓,D01186,否,是
AA24100011,伊菲丹西安赛格代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-21 09:36:57,乐嘟,2024-10-21 09:39:38,平台仓,G281,否,是
AA24100010,Ciate郑州自贸达菜鸟中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-18 17:44:21,乐嘟,2024-10-18 17:50:02,菜鸟,G283,否,是
AA24100009,Ciate郑州自贸达菜鸟保税仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-18 17:43:41,乐嘟,2024-10-18 17:49:46,菜鸟,G282,否,是
AA24100004,ComfZ郑州自贸达菜鸟仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-15 11:34:26,乐嘟,2024-10-15 11:34:49,菜鸟,G280,否,是
AA24080028,BEC宁波北仑抖音仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-08-22 18:53:09,乐嘟,2024-10-09 09:50:27,宁波北仑中外运仓,G261,否,是
AA24100002,ESI-菜鸟菜园,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-08 15:17:41,乐嘟,2024-10-08 15:18:31,平台仓,G278,否,是
AA24100001,美斯蒂克郑州抖音护肤店仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-10-08 10:30:02,乐嘟,2024-10-08 10:32:22,自贸达,G277,否,是
ZZ525,Les Bains Guerbois 菜鸟仓,保税仓,区域仓,其他,启用,中国,,,,,,,否,否,,,,,千凡,2022-09-01 17:52:43,千凡,2022-09-01 17:52:43,菜鸟,,,是
AA24090019,ESI菜园分销中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-30 17:19:26,乐嘟,2024-09-30 17:20:11,平台仓,G276,否,是
AA24090018,CODE8-菜鸟菜园代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-29 10:06:37,乐嘟,2024-09-29 11:17:42,平台仓,G272,否,是
AA24090016,LUMENE天猫U仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-27 16:34:37,乐嘟,2024-09-27 17:05:42,平台仓,C925,否,是
AA24090017,BioNike郑州自贸达菜鸟仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-27 16:36:10,乐嘟,2024-09-27 16:37:17,菜鸟,G275,否,是
AA24090014,CELLEX-C郑州小红书中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-26 15:13:46,乐嘟,2024-09-27 09:27:56,菜鸟,G271,否,是
AA24090013,拉法耶特深圳JOLOVES代销仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-25 16:08:38,乐嘟,2024-09-25 17:44:29,平台仓,C924,否,是
AA24090012,香港4PX中间仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-24 18:31:10,乐嘟,2024-09-25 09:10:04,香港4PX,G269,否,否
